id,idade,genero,estado,curso_faculdade,ano_formatura,possui_estagio,cursos_extras,certificacoes,linguagens_conhecidas,tecnologias_domina,tempo_busca_meses,vagas_aplicadas,entrevistas_realizadas,rejeicoes_recebidas,feedbacks_recebidos,trabalhos_freelancer,maior_dificuldade,sentiu_preparado,participou_programas_treinamento,contatos_profissionais,conseguiu_emprego,tempo_ate_emprego,tipo_empresa,tipo_contrato
11,29,Feminino,"Rio Grande do Sul","Inteligência Artificial",2018,Sim,"Deep Learning","TensorFlow Developer","Python, R","Keras, OpenCV",7,35,9,7,4,5,"Modelos complexos",Sim,Não,14,Sim,7,"Startup de IA",CLT
12,23,Masculino,"Espírito Santo","Banco de Dados",2022,Não,"Big Data","MongoDB Certified","SQL, Python","Hadoop, Cassandra",10,30,6,5,2,0,"Otimização de queries",Não,Não,9,Não,NULL,NULL,NULL
13,26,Feminino,"Mato Grosso","Computação em Nuvem",2020,Sim,DevOps,"AWS Solutions Architect","Python, Go","Terraform, Ansible",4,18,7,4,3,0,"Arquitetura escalável",Sim,Sim,11,Sim,4,"Empresa de Cloud",CLT
14,31,Masculino,Amazonas,Bioinformática,2017,Não,"Computação Científica",NULL,"Python, R",Bioconductor,12,50,10,9,2,3,"Poucas vagas",Não,Sim,5,Não,NULL,NULL,NULL
15,24,Feminino,Alagoas,"UX/UI Design",2022,Sim,"Design Thinking","Adobe XD Certified",JavaScript,"Figma, Sketch",5,22,6,4,3,4,"Testes de usabilidade",Sim,Não,8,Sim,5,"Agência Digital",PJ
16,25,Masculino,Sergipe,"Engenharia de Dados",2021,Sim,"Data Pipelines","Google Cloud Data Engineer","Python, SQL","Airflow, Kafka",3,15,5,3,2,0,"ETL complexo",Sim,Sim,12,Sim,3,"Empresa de Analytics",CLT
17,27,Feminino,Paraíba,"Computação Gráfica",2019,Não,"3D Modeling","Autodesk Certified","C++, Python","Blender, Maya",8,25,5,4,1,2,Renderização,Não,Não,7,Sim,8,"Estúdio de Animação",PJ
18,23,Masculino,"Rio Grande do Norte","Sistemas Embarcados",2023,Sim,Robótica,NULL,"C, Assembly","ROS, Arduino",1,5,2,1,1,1,"Programação baixo nível",Sim,Sim,4,Sim,1,"Indústria Automotiva",Estágio
19,26,Feminino,Tocantins,"Gestão da Tecnologia da Informação",2020,Sim,ITIL,"ITIL Foundation",NULL,ServiceNow,6,20,8,5,4,0,"Processos de TI",Sim,Sim,15,Sim,6,"Departamento de TI",CLT
20,22,Masculino,Maranhão,"Desenvolvimento Mobile",2022,Sim,Flutter,"Google Mobile Web Specialist","Dart, JavaScript","Flutter, React Native",4,18,6,3,3,4,"Performance mobile",Sim,Sim,9,Sim,4,"Startup Mobile",PJ
21,28,Feminino,Piauí,"Arquitetura de Software",2019,Sim,Microservices,"AWS Certified Solutions Architect","Java, Python","Kubernetes, Docker",7,30,10,6,5,2,"Design de sistemas",Sim,Não,22,Sim,7,"Empresa de SaaS",CLT
22,24,Não-binário,Rondônia,DevOps,2021,Não,"Infra as Code","Red Hat Certified","Python, Bash","Terraform, Jenkins",5,25,7,5,2,3,"Automação CI/CD",Não,Sim,11,Sim,5,"Tech Unicorn",CLT
23,25,Masculino,Acre,Blockchain,2020,Sim,"Smart Contracts","Ethereum Developer","Solidity, JavaScript","Ethereum, Hyperledger",8,35,9,7,3,5,"Segurança cripto",Sim,Não,8,Sim,8,"Startup Blockchain",PJ
24,23,Feminino,Amapá,"Computação Quântica",2023,Não,Qiskit,"IBM Quantum Developer","Python, Q#","Qiskit, Cirq",3,12,2,1,1,0,"Conceitos teóricos",Não,Sim,6,Não,NULL,NULL,NULL
25,29,Masculino,Roraima,"Realidade Virtual",2018,Sim,"Unity VR","Oculus Developer","C#, Python","Unity, Unreal",10,40,8,6,2,7,"Otimização 3D",Sim,Não,13,Sim,10,"Estúdio de Games",CLT
26,26,Feminino,"Mato Grosso do Sul","Testes de Software",2021,Sim,"Automação de Testes","ISTQB Certified","Java, Python","Selenium, JMeter",4,22,6,4,3,1,"Cobertura de testes",Sim,Sim,10,Sim,4,"Empresa de QA",CLT
27,24,Masculino,Pará,"Sistemas Distribuídos",2022,Não,"Cloud Native","CNCF Certified","Go, Python","Kubernetes, gRPC",6,28,5,4,1,2,"Latência em sistemas",Não,Sim,7,Sim,6,"Empresa de Cloud",PJ
28,27,Feminino,Alagoas,"Computação Forense",2020,Sim,Cybersecurity,"CEH Certified","Python, Bash","Wireshark, FTK",5,20,7,5,3,0,"Análise de malware",Sim,Não,16,Sim,5,"Consultoria Segurança",CLT
29,25,Masculino,Sergipe,"Programação Competitiva",2021,Não,"Algoritmos Avançados","Google Code Jam","C++, Python",NULL,9,50,15,10,8,12,"Complexidade algorítmica",Sim,Não,5,Sim,9,"Big Tech",CLT
30,22,Masculino,"São Paulo","Ciência da Computação",2022,Sim,"Curso de Python Avançado","AWS Certified Cloud Practitioner","Python, Java, SQL","Django, Spring Boot",3,15,5,3,2,2,"Entrevistas técnicas",Sim,Sim,10,Sim,3,Multinacional,CLT
31,25,Feminino,"Rio de Janeiro","Engenharia de Software",2021,Não,"UX/UI Design","Scrum Master","JavaScript, HTML, CSS","React, Node.js",6,30,8,6,4,5,"Provas de algoritmos",Não,Não,5,Sim,6,Startup,PJ
32,23,Não-binário,"Minas Gerais","Sistemas de Informação",2023,Sim,"Data Science Bootcamp","Google Data Analytics","Python, R, SQL","Pandas, TensorFlow",2,10,3,1,1,1,"Negociação salarial",Sim,Sim,8,Sim,2,Consultoria,CLT
33,24,Masculino,"Santa Catarina","Análise e Desenvolvimento de Sistemas",2022,Não,"Programação em C++","Oracle Certified Associate","C++, Python","Docker, Kubernetes",12,50,10,8,3,3,"Falta de experiência",Não,Sim,7,Não,NULL,NULL,NULL
34,26,Feminino,Paraná,"Ciência de Dados",2020,Sim,"Machine Learning","Microsoft Certified: Azure Data Scientist","Python, R, SQL","PyTorch, Spark",4,20,6,4,3,0,"Case interviews",Sim,Não,12,Sim,4,"Empresa de médio porte",CLT
35,30,Masculino,Goiás,"Segurança da Informação",2018,Sim,"Ethical Hacking","Certified Ethical Hacker","Python, Bash","Metasploit, Wireshark",5,25,7,5,4,2,"Testes de penetração",Sim,Sim,20,Sim,5,Banco,CLT
36,22,Feminino,Pernambuco,"Jogos Digitais",2023,Não,"Unity 3D","Unity Certified","C#, JavaScript","Unity, Unreal Engine",9,40,5,4,2,8,"Portfólio insuficiente",Não,Não,3,Não,NULL,NULL,NULL
37,27,Masculino,Ceará,"Redes de Computadores",2020,Não,"Cloud Computing","Cisco CCNA","Python, Bash","AWS, Azure",6,15,4,3,1,0,"Configuração de redes",Sim,Não,25,Sim,6,Telecomunicações,CLT
38,24,Feminino,"Distrito Federal","Engenharia da Computação",2022,Sim,"IoT Development","Certified IoT Practitioner","C, Python","Arduino, Raspberry Pi",3,12,5,2,2,1,"Hardware programming",Sim,Sim,18,Sim,3,"Indústria de Hardware",CLT
39,21,Masculino,"São Paulo","Sistemas para Internet",2023,Sim,"Web Development","Oracle Certified","Java, JavaScript","Spring, Angular",2,8,3,1,1,2,"Testes técnicos",Sim,Sim,6,Sim,2,"Consultoria TI",PJ
40,29,Feminino,"Rio Grande do Sul","Inteligência Artificial",2018,Sim,"Deep Learning","TensorFlow Developer","Python, R","Keras, OpenCV",7,35,9,7,4,5,"Modelos complexos",Sim,Não,14,Sim,7,"Startup de IA",CLT
41,23,Masculino,"Espírito Santo","Banco de Dados",2022,Não,"Big Data","MongoDB Certified","SQL, Python","Hadoop, Cassandra",10,30,6,5,2,0,"Otimização de queries",Não,Não,9,Não,NULL,NULL,NULL
42,26,Feminino,"Mato Grosso","Computação em Nuvem",2020,Sim,DevOps,"AWS Solutions Architect","Python, Go","Terraform, Ansible",4,18,7,4,3,0,"Arquitetura escalável",Sim,Sim,11,Sim,4,"Empresa de Cloud",CLT
43,24,Feminino,Alagoas,"UX/UI Design",2022,Sim,"Design Thinking","Adobe XD Certified",JavaScript,"Figma, Sketch",5,22,6,4,3,4,"Testes de usabilidade",Sim,Não,8,Sim,5,"Agência Digital",PJ
44,25,Masculino,Sergipe,"Engenharia de Dados",2021,Sim,"Data Pipelines","Google Cloud Data Engineer","Python, SQL","Airflow, Kafka",3,15,5,3,2,0,"ETL complexo",Sim,Sim,12,Sim,3,"Empresa de Analytics",CLT
45,27,Feminino,Paraíba,"Computação Gráfica",2019,Não,"3D Modeling","Autodesk Certified","C++, Python","Blender, Maya",8,25,5,4,1,2,Renderização,Não,Não,7,Sim,8,"Estúdio de Animação",PJ
46,23,Masculino,"Rio Grande do Norte","Sistemas Embarcados",2023,Sim,Robótica,NULL,"C, Assembly","ROS, Arduino",1,5,2,1,1,1,"Programação baixo nível",Sim,Sim,4,Sim,1,"Indústria Automotiva",Estágio
47,26,Feminino,Tocantins,"Gestão da Tecnologia da Informação",2020,Sim,ITIL,"ITIL Foundation",NULL,ServiceNow,6,20,8,5,4,0,"Processos de TI",Sim,Sim,15,Sim,6,"Departamento de TI",CLT
48,22,Masculino,Maranhão,"Desenvolvimento Mobile",2022,Sim,Flutter,"Google Mobile Web Specialist","Dart, JavaScript","Flutter, React Native",4,18,6,3,3,4,"Performance mobile",Sim,Sim,9,Sim,4,"Startup Mobile",PJ
49,28,Feminino,Piauí,"Arquitetura de Software",2019,Sim,Microservices,"AWS Certified Solutions Architect","Java, Python","Kubernetes, Docker",7,30,10,6,5,2,"Design de sistemas",Sim,Não,22,Sim,7,"Empresa de SaaS",CLT
50,24,Não-binário,Rondônia,DevOps,2021,Não,"Infra as Code","Red Hat Certified","Python, Bash","Terraform, Jenkins",5,25,7,5,2,3,"Automação CI/CD",Não,Sim,11,Sim,5,"Tech Unicorn",CLT
51,25,Masculino,Acre,Blockchain,2020,Sim,"Smart Contracts","Ethereum Developer","Solidity, JavaScript","Ethereum, Hyperledger",8,35,9,7,3,5,"Segurança cripto",Sim,Não,8,Sim,8,"Startup Blockchain",PJ
52,23,Feminino,Amapá,"Computação Quântica",2023,Não,Qiskit,"IBM Quantum Developer","Python, Q#","Qiskit, Cirq",3,12,2,1,1,0,"Conceitos teóricos",Não,Sim,6,Não,NULL,NULL,NULL
53,29,Masculino,Roraima,"Realidade Virtual",2018,Sim,"Unity VR","Oculus Developer","C#, Python","Unity, Unreal",10,40,8,6,2,7,"Otimização 3D",Sim,Não,13,Sim,10,"Estúdio de Games",CLT
54,26,Feminino,"Mato Grosso do Sul","Testes de Software",2021,Sim,"Automação de Testes","ISTQB Certified","Java, Python","Selenium, JMeter",4,22,6,4,3,1,"Cobertura de testes",Sim,Sim,10,Sim,4,"Empresa de QA",CLT
55,24,Masculino,Pará,"Sistemas Distribuídos",2022,Não,"Cloud Native","CNCF Certified","Go, Python","Kubernetes, gRPC",6,28,5,4,1,2,"Latência em sistemas",Não,Sim,7,Sim,6,"Empresa de Cloud",PJ
56,27,Feminino,Alagoas,"Computação Forense",2020,Sim,Cybersecurity,"CEH Certified","Python, Bash","Wireshark, FTK",5,20,7,5,3,0,"Análise de malware",Sim,Não,16,Sim,5,"Consultoria Segurança",CLT
57,25,Masculino,Sergipe,"Programação Competitiva",2021,Não,"Algoritmos Avançados","Google Code Jam","C++, Python",NULL,9,50,15,10,8,12,"Complexidade algorítmica",Sim,Não,5,Sim,9,"Big Tech",CLT
58,22,Feminino,Bahia,"Engenharia de Requisitos",2022,Sim,"Product Management","Certified Scrum Product Owner",NULL,"Jira, Confluence",3,18,6,3,3,0,"Comunicação com stakeholders",Sim,Sim,14,Sim,3,Consultoria,CLT
59,31,Masculino,Amazonas,Bioinformática,2017,Não,"Computação Científica",NULL,"Python, R",Bioconductor,12,50,10,9,2,3,"Poucas vagas",Não,Sim,5,Não,NULL,NULL,NULL
60,24,Feminino,"Espírito Santo","Administração de Redes",2022,Sim,"Segurança Ofensiva","CompTIA Security+","Python, Bash","Nmap, Burp Suite",5,25,7,4,3,2,"Firewalls complexos",Sim,Não,10,Sim,5,"Provedor de Internet",CLT
61,26,Masculino,Goiás,"Desenvolvimento de Jogos",2020,Sim,"Game Design","Unreal Certified","C#, C++","Unity, Unreal",8,35,9,6,4,6,"Otimização gráfica",Sim,Sim,8,Sim,8,"Estúdio de Jogos",PJ
62,23,Feminino,"Mato Grosso","Engenharia de Software",2023,Não,"Clean Code",NULL,"Java, Python","Spring, Django",2,12,3,2,1,1,"Padrões de projeto",Não,Sim,6,Sim,2,"Empresa de Tecnologia",CLT
63,28,Masculino,"Minas Gerais","Ciência da Computação",2019,Sim,"Algoritmos Avançados","Google Hash Code","C++, Python",NULL,4,30,10,5,5,3,"Problemas NP-difíceis",Sim,Não,12,Sim,4,"Big Tech",CLT
64,25,Feminino,Paraná,"Sistemas de Informação",2021,Sim,"Business Intelligence","Microsoft Power BI","SQL, Python","Tableau, Power BI",6,22,8,4,4,0,"Modelagem dimensional",Sim,Sim,15,Sim,6,"Empresa de Varejo",CLT
65,22,Masculino,Pernambuco,"Inteligência Artificial",2022,Não,"Visão Computacional",NULL,"Python, MATLAB","OpenCV, TensorFlow",7,28,6,5,2,4,"Treinamento de modelos",Não,Sim,7,Sim,7,"Startup de IA",PJ
66,27,Feminino,"Rio de Janeiro","Segurança da Informação",2020,Sim,Pentesting,"OSCP Certified","Python, Bash","Kali Linux, Metasploit",5,20,7,4,3,2,"Exploração de vulnerabilidades",Sim,Não,18,Sim,5,"Empresa de Segurança",CLT
67,24,Masculino,"Rio Grande do Norte","Engenharia de Dados",2022,Sim,"Big Data","Cloudera Certified","Python, SQL","Hadoop, Spark",3,15,5,2,2,1,"Processamento distribuído",Sim,Sim,11,Sim,3,"Empresa de Analytics",CLT
68,29,Feminino,"Rio Grande do Sul","Computação em Nuvem",2018,Sim,Multi-cloud,"AWS, Azure, GCP Certified","Python, Go","Terraform, Kubernetes",8,35,10,6,5,3,"Arquitetura cloud-native",Sim,Sim,20,Sim,8,"Fornecedor Cloud",CLT
69,23,Masculino,"Santa Catarina",DevOps,2023,Não,GitOps,"Docker Certified","Python, Bash","Docker, Jenkins",1,8,2,1,1,0,"Pipeline de CI/CD",Não,Sim,5,Sim,1,"Empresa de Tecnologia",CLT
70,26,Feminino,"São Paulo","UX/UI Design",2020,Sim,"Design de Interfaces","Adobe Certified",JavaScript,"Figma, Adobe XD",4,25,7,4,3,5,"Testes de usabilidade",Sim,Não,12,Sim,4,"Agência Digital",PJ
71,24,Masculino,Sergipe,"Engenharia da Computação",2022,Sim,"Sistemas Embarcados",NULL,"C, Assembly","Arduino, Raspberry Pi",6,18,5,3,2,2,"Programação baixo nível",Sim,Sim,9,Sim,6,"Indústria Automotiva",CLT
72,25,Feminino,Tocantins,"Gestão de TI",2021,Sim,"Governança de TI","COBIT Certified",NULL,"ServiceNow, Jira",5,20,6,4,2,0,"Alinhamento estratégico",Sim,Sim,14,Sim,5,"Departamento de TI",CLT
73,22,Masculino,"Distrito Federal","Redes de Computadores",2022,Não,SD-WAN,"Cisco CCNP","Python, Bash","Cisco IOS, Ansible",7,25,6,5,2,1,"Configuração de roteadores",Não,Sim,8,Sim,7,"Provedor de Internet",CLT
74,28,Feminino,"Espírito Santo","Banco de Dados",2019,Sim,"Data Warehousing","Oracle DBA Certified","SQL, Python","Oracle, PostgreSQL",6,22,7,4,3,0,"Otimização de queries",Sim,Não,16,Sim,6,"Empresa Financeira",CLT
75,23,Masculino,Goiás,"Desenvolvimento Web",2023,Sim,"Frontend Avançado","Google Web Developer","JavaScript, TypeScript","React, Angular",2,15,5,2,2,3,"Performance web",Sim,Sim,7,Sim,2,"Agência Digital",PJ
76,26,Feminino,Maranhão,"Testes de Software",2020,Sim,"Automação de Testes","ISTQB Advanced","Java, Python","Selenium, Cypress",4,18,6,3,3,1,"Cobertura de testes",Sim,Sim,10,Sim,4,"Empresa de QA",CLT
77,24,Masculino,"Mato Grosso do Sul","Arquitetura de Software",2022,Sim,"Domain-Driven Design",NULL,"Java, C#","Spring, .NET",5,20,7,4,3,2,"Design de microsserviços",Sim,Não,12,Sim,5,"Empresa de Tecnologia",CLT
78,27,Feminino,"Minas Gerais","Ciência de Dados",2020,Sim,"Processamento de Linguagem Natural","TensorFlow Developer","Python, R","NLTK, spaCy",7,25,8,5,4,3,"Pré-processamento de dados",Sim,Sim,14,Sim,7,"Startup de IA",PJ
79,25,Masculino,Pará,Blockchain,2021,Sim,"Smart Contracts","Hyperledger Certified","Solidity, Go","Ethereum, Hyperledger",8,30,7,5,3,4,"Consenso distribuído",Sim,Não,9,Sim,8,"Startup Blockchain",CLT
80,23,Feminino,Paraíba,"Computação Gráfica",2023,Não,"Realidade Aumentada","Unity Certified","C#, Python","Unity, ARKit",3,15,4,3,1,2,"Otimização 3D",Não,Sim,6,Sim,3,"Estúdio de Design",PJ
81,26,Masculino,Pernambuco,"Engenharia de Software",2020,Sim,"Clean Architecture",NULL,"Java, TypeScript","Spring, NestJS",4,22,7,4,3,1,"Princípios SOLID",Sim,Sim,11,Sim,4,"Empresa de Tecnologia",CLT
82,24,Feminino,Piauí,"Segurança Cibernética",2022,Sim,Forensics,"GIAC Certified","Python, Bash","FTK, Autopsy",6,20,6,4,2,0,"Análise forense",Sim,Não,13,Sim,6,"Empresa de Segurança",CLT
83,28,Masculino,"Rio de Janeiro",DevOps,2019,Sim,GitOps,"CKAD Certified","Go, Python","Kubernetes, Helm",5,25,8,4,4,2,"Orquestração de containers",Sim,Sim,15,Sim,5,"Empresa de Cloud",CLT
84,25,Feminino,"Rio Grande do Norte","UX Research",2021,Sim,"Design Thinking","NN/g Certified",NULL,"Figma, Miro",7,28,9,5,4,3,"Análise de personas",Sim,Não,10,Sim,7,"Agência Digital",PJ
85,23,Masculino,"Rio Grande do Sul","Engenharia de Dados",2023,Não,"Data Streaming",NULL,"Python, SQL","Kafka, Spark Streaming",2,12,3,2,1,0,"Processamento em tempo real",Não,Sim,7,Sim,2,"Empresa de Analytics",CLT
86,26,Feminino,"Santa Catarina","Computação em Nuvem",2020,Sim,Serverless,"AWS Certified","Python, JavaScript","Lambda, API Gateway",4,20,6,3,3,1,"Arquitetura sem servidor",Sim,Sim,12,Sim,4,"Fornecedor Cloud",CLT
87,24,Masculino,"São Paulo","Inteligência Artificial",2022,Sim,"Deep Reinforcement Learning",NULL,"Python, R","TensorFlow, PyTorch",6,25,8,5,4,3,"Treinamento de RL",Sim,Não,14,Sim,6,"Laboratório de IA",CLT
88,27,Feminino,Sergipe,"Banco de Dados",2020,Sim,"Data Modeling","MongoDB Certified","SQL, NoSQL","MongoDB, Cassandra",5,22,7,4,3,0,"Modelagem dimensional",Sim,Sim,11,Sim,5,"Empresa de Varejo",CLT
89,25,Masculino,Tocantins,"Redes de Computadores",2021,Sim,"Segurança em Redes","CCNP Security","Python, Bash","Cisco Firepower",7,28,8,5,3,2,"Firewalls de próxima geração",Sim,Não,13,Sim,7,"Provedor de Internet",CLT
90,23,Feminino,"Distrito Federal","Engenharia de Software",2023,Não,"Test-Driven Development",NULL,"Java, JavaScript","JUnit, Jest",3,15,4,3,1,1,"Cobertura de testes",Não,Sim,6,Sim,3,"Empresa de Tecnologia",CLT
91,26,Masculino,Bahia,"Computação Gráfica",2020,Sim,Shaders,"NVIDIA Certified","C++, GLSL","OpenGL, Vulkan",8,30,7,5,2,4,"Otimização gráfica",Sim,Sim,9,Sim,8,"Estúdio de Jogos",PJ
92,24,Feminino,"Espírito Santo","Ciência de Dados",2022,Sim,"Análise Preditiva","Microsoft Data Scientist","Python, R","Scikit-learn, XGBoost",5,22,7,4,3,2,"Feature engineering",Sim,Não,12,Sim,5,"Empresa Financeira",CLT
93,28,Masculino,Goiás,DevOps,2019,Sim,"Infraestrutura como Código","Terraform Certified","Python, HCL","Terraform, Ansible",6,25,8,4,4,3,"Automação de infraestrutura",Sim,Sim,15,Sim,6,"Empresa de Cloud",CLT
94,25,Feminino,Maranhão,"UX/UI Design",2021,Sim,"Design de Interação","Adobe Certified",JavaScript,"Figma, Adobe XD",7,30,9,6,5,4,"Testes A/B",Sim,Não,11,Sim,7,"Agência Digital",PJ
95,23,Masculino,"Mato Grosso","Engenharia de Dados",2023,Não,"Data Lakes",NULL,"Python, SQL","Delta Lake, Iceberg",2,12,3,2,1,0,"Governança de dados",Não,Sim,7,Sim,2,"Empresa de Analytics",CLT
96,26,Feminino,"Mato Grosso do Sul","Segurança da Informação",2020,Sim,"Red Team","OSCP Certified","Python, Bash","Metasploit, Cobalt Strike",5,20,6,4,2,1,"Exploração de vulnerabilidades",Sim,Sim,10,Sim,5,"Empresa de Segurança",CLT
97,24,Masculino,"Minas Gerais","Computação em Nuvem",2022,Sim,Multi-cloud,"AWS, Azure Certified","Python, Go","Terraform, Kubernetes",7,28,9,5,4,3,"Arquitetura híbrida",Sim,Não,14,Sim,7,"Fornecedor Cloud",CLT
98,27,Feminino,Pará,"Desenvolvimento Mobile",2020,Sim,"Flutter Avançado","Google Certified","Dart, Kotlin","Flutter, Android SDK",6,25,8,5,4,5,"Performance em dispositivos antigos",Sim,Sim,12,Sim,6,"Startup Mobile",PJ
99,25,Masculino,Paraíba,"Engenharia de Software",2021,Sim,"Domain-Driven Design",NULL,"Java, C#","Spring, .NET",5,22,7,4,3,2,"Design de microsserviços",Sim,Sim,11,Sim,5,"Empresa de Tecnologia",CLT
100,23,Feminino,Pernambuco,"Inteligência Artificial",2023,Não,"Processamento de Linguagem Natural",NULL,"Python, R","NLTK, spaCy",3,15,4,3,1,2,"Pré-processamento de texto",Não,Sim,6,Sim,3,"Startup de IA",PJ
101,26,Masculino,Piauí,Blockchain,2020,Sim,"Smart Contracts","Ethereum Certified","Solidity, JavaScript","Ethereum, Hardhat",8,30,7,5,3,4,"Otimização de gas",Sim,Não,9,Sim,8,"Startup Blockchain",CLT
102,24,Feminino,"Rio de Janeiro","Computação Forense",2022,Sim,"Análise de Malware","GIAC Certified","Python, Bash","IDA Pro, Ghidra",6,20,6,4,2,0,"Engenharia reversa",Sim,Sim,13,Sim,6,"Empresa de Segurança",CLT
103,28,Masculino,"Rio Grande do Norte",DevOps,2019,Sim,"Platform Engineering","CKA Certified","Go, Python","Kubernetes, ArgoCD",7,28,9,5,4,3,"GitOps avançado",Sim,Sim,16,Sim,7,"Empresa de Cloud",CLT
104,25,Feminino,"Rio Grande do Sul","UX Research",2021,Sim,"Pesquisa Qualitativa","NN/g Certified",NULL,"UserTesting, Hotjar",8,30,10,6,5,4,"Análise de jornada do usuário",Sim,Não,12,Sim,8,"Agência Digital",PJ
105,23,Masculino,"Santa Catarina","Engenharia de Dados",2023,Não,"Data Mesh",NULL,"Python, SQL","Spark, dbt",2,12,3,2,1,0,"Arquitetura descentralizada",Não,Sim,7,Sim,2,"Empresa de Analytics",CLT
106,26,Feminino,"São Paulo","Computação em Nuvem",2020,Sim,FinOps,"AWS Certified","Python, SQL","Cost Explorer, Kubecost",5,22,7,4,3,1,"Otimização de custos",Sim,Sim,14,Sim,5,"Fornecedor Cloud",CLT
107,24,Masculino,Sergipe,"Inteligência Artificial",2022,Sim,"Visão Computacional","TensorFlow Developer","Python, C++","OpenCV, PyTorch",7,25,8,5,4,3,"Treinamento de modelos CNN",Sim,Não,15,Sim,7,"Laboratório de IA",CLT
108,27,Feminino,Tocantins,"Banco de Dados",2020,Sim,"Data Warehousing","Snowflake Certified","SQL, Python","Snowflake, Redshift",6,23,8,4,4,0,"Modelagem de dados",Sim,Sim,12,Sim,6,"Empresa de Varejo",CLT
109,25,Masculino,"Distrito Federal","Redes de Computadores",2021,Sim,SDN,"Cisco DevNet","Python, YAML","Cisco ACI, Ansible",8,30,9,6,4,3,"Automação de redes",Sim,Não,14,Sim,8,"Provedor de Internet",CLT
110,22,Masculino,"São Paulo","Ciência da Computação",2022,Sim,"Curso de Python Avançado","AWS Certified Cloud Practitioner","Python, Java, SQL","Django, Spring Boot",3,15,5,3,2,2,"Entrevistas técnicas",Sim,Sim,10,Sim,3,Multinacional,CLT
111,25,Feminino,"Rio de Janeiro","Engenharia de Software",2021,Não,"UX/UI Design","Scrum Master","JavaScript, HTML, CSS","React, Node.js",6,30,8,6,4,5,"Provas de algoritmos",Não,Não,5,Sim,6,Startup,PJ
112,24,Masculino,"Minas Gerais","Sistemas de Informação",2021,Sim,"Data Analytics","Google Data Analytics","Python, SQL","Pandas, Tableau",4,18,6,3,3,2,"Análise exploratória",Sim,Sim,12,Sim,4,"Empresa de Consultoria",CLT
113,27,Feminino,Bahia,"Engenharia de Dados",2020,Sim,"Big Data","Cloudera Certified","Python, Scala","Spark, Hadoop",5,22,7,4,3,1,"Processamento distribuído",Sim,Não,15,Sim,5,"Empresa de Tecnologia",PJ
114,23,Não-binário,Pernambuco,"Segurança da Informação",2023,Não,"Ethical Hacking","CEH Certified","Python, Bash","Kali Linux, Metasploit",2,12,3,2,1,0,"Testes de penetração",Não,Sim,8,Sim,2,Banco,CLT
